ID,Title,Genres,Rating,Year,Numrate,Runtime,Image,Directors,Writers,Stars
tt16366836,Venom: The Last Dance,"Alien Invasion, Kaiju, Road Trip, Superhero, Action, Adventure, Sci-Fi, Thriller",6.0,2024,113K,110,"https://m.media-amazon.com/images/M/MV5BZDMyYWU4NzItZDY0MC00ODE2LTkyYTMtMzNkNDdmYmFhZDg0XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",Kelly Marcel,"Kelly Marcel, Tom Hardy, Todd McFarlane","Tom Hardy, Chiwetel Ejiofor, Juno Temple"
tt10655524,It Ends with Us,"Drama, Romance",6.4,2024,83K,130,"https://m.media-amazon.com/images/M/MV5BYzM2NGMzNGQtZjNhMi00MTVkLTg2ZGQtN2M4OTllYzU1Y2Y0XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Justin Baldoni,"Christy Hall, Colleen Hoover","Blake Lively, Justin Baldoni, Jenny Slate"
tt3829378,Stephanie,"Supernatural Horror, Horror, Mystery",5.8,2017,6.6K,86,"https://m.media-amazon.com/images/M/MV5BOTJlYTUzYzAtODJhYy00MDYwLWJkMDEtMjRiNGFmZDNiYjQ5XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",Akiva Goldsman,"Ben Collins, Luke Piotrowski","Shree Crooks, Frank Grillo, Anna Torv"
tt0937375,This Christmas,"Holiday Comedy, Holiday Romance, Comedy, Drama, Holiday, Romance",6.4,2007,11K,117,"https://m.media-amazon.com/images/M/MV5BMjE0NDY5Mzk2OF5BMl5BanBnXkFtZTYwNzI3MDM4._V1_QL75_UX190_CR0,0,190,281_.jpg",Preston A. Whitmore II,Preston A. Whitmore II,"Regina King, Columbus Short, Delroy Lindo"
tt8333978,Maharshi,"Action, Drama",7.1,2019,11K,176,"https://m.media-amazon.com/images/M/MV5BZmU5NDU0YjktYzYwYy00N2FiLWI2YmYtNzhjOTg4NjkwN2IyXkEyXkFqcGc@._V1_QL75_UX190_CR0,13,190,281_.jpg",Vamshi Paidipally,"Hari, Ahishor Solomon, Vamshi Paidipally","Mahesh Babu, Allari Naresh, Pooja Hegde"
tt2969656,Cold Eyes,"Action, Crime, Thriller",7.1,2013,8.8K,119,"https://m.media-amazon.com/images/M/MV5BODI0ODA1MWUtZDFiNC00ZThlLWE1NGItMGM1YTIyZjc3NzVjXkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg","Kim Byung-seo, Jo Ui-seok","Kin-Yee Au, Jo Ui-seok, Nai-Hoi Yau","Sul Kyung-gu, Jung Woo-sung, Han Hyo-joo"
tt14731254,Val,"Biography, Documentary",7.6,2021,15K,109,"https://m.media-amazon.com/images/M/MV5BZWUxMWFhYmQtOTdmOC00ODllLWJmYTItOTE1MzFjNTFlOGZmXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","Ting Poo, Leo Scott","Val Kilmer, Jack Kilmer, Mercedes Kilmer",
tt3906082,Mary Shelley,"Docudrama, Biography, Drama, History, Romance",6.4,2017,18K,120,"https://m.media-amazon.com/images/M/MV5BZWVmODA1ZGEtMTFmMy00YjM4LThlMDgtOTEwMTE5MTkzMjMyXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Haifaa Al-Mansour,"Emma Jensen, Haifaa Al-Mansour","Elle Fanning, Bel Powley, Owen Richards"
tt10808832,Let Them All Talk,"Comedy, Drama",6.1,2020,14K,113,"https://m.media-amazon.com/images/M/MV5BZjY1MTY1YzktMjc0Zi00ZDU1LThiMGEtODFkZDc4YmIxODAyXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Steven Soderbergh,Deborah Eisenberg,"Meryl Streep, Gemma Chan, Dianne Wiest"
tt4932154,Center of My World,"Drama, Romance",7.1,2016,7.5K,115,"https://m.media-amazon.com/images/M/MV5BNWFlMWE0ODAtMmU1My00MWFkLWFhNmEtZjg5YTc1NTUxYTBhXkEyXkFqcGc@._V1_QL75_UY281_CR5,0,190,281_.jpg",Jakob M. Erwa,"Jakob M. Erwa, Andreas Steinhöfel","Louis Hofmann, Jannik Schümann, Sabine Timoteo"
tt1810683,Little Boy,"Drama, History, War",7.3,2015,25K,106,"https://m.media-amazon.com/images/M/MV5BMTU5MjMyODcxMF5BMl5BanBnXkFtZTgwMzIwMDM2NDE@._V1_QL75_UX190_CR0,2,190,281_.jpg",Alejandro Monteverde,"Alejandro Monteverde, Pepe Portillo","Jakob Salvati, Emily Watson, David Henrie"
tt0361089,Valiant,"Animal Adventure, Computer Animation, Adventure, Animation, Comedy, Family, War",5.5,2005,25K,76,"https://m.media-amazon.com/images/M/MV5BOWFjZjhlMGYtM2EyNC00ZWZhLTliMmItYjIxZmNhMzNjZDcxXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Gary Chapman,"George Webster, Jordan Katz, George Melrod","Ewan McGregor, Ricky Gervais, Tim Curry"
tt7942742,Her Smell,"Drama, Music",6.0,2018,8.5K,136,"https://m.media-amazon.com/images/M/MV5BMTk2Mzg4NzI3NF5BMl5BanBnXkFtZTgwMzE5NDk1NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg",Alex Ross Perry,Alex Ross Perry,"Elisabeth Moss, Cara Delevingne, Dan Stevens"
tt7690670,SuperFly,"Action, Crime, Thriller",5.3,2018,7.9K,116,"https://m.media-amazon.com/images/M/MV5BNjlkMTc5MmMtMjIxZi00MjE2LWJiMWQtNjQwM2FhMWZmMzhhXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",Director X,Alex Tse,"Trevor Jackson, Jason Mitchell, Lex Scott Davis"
tt4935372,The Devil's Candy,"Drama, Horror, Thriller",6.3,2015,23K,79,"https://m.media-amazon.com/images/M/MV5BNTQzOTIxNTA5OV5BMl5BanBnXkFtZTgwODc3NzQ1MTI@._V1_QL75_UX190_CR0,1,190,281_.jpg",Sean Byrne,Sean Byrne,"Ethan Embry, Shiri Appleby, Pruitt Taylor Vince"
tt1135525,The Slammin' Salmon,Comedy,6.4,2009,16K,99,"https://m.media-amazon.com/images/M/MV5BMTkyODk2NTU3OV5BMl5BanBnXkFtZTcwNjM5OTIwMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Kevin Heffernan,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme","Michael Clarke Duncan, Jay Chandrasekhar, Kevin Heffernan"
tt0192111,Head Over Heels,"Romantic Comedy, Comedy, Mystery, Romance",5.4,2001,16K,86,"https://m.media-amazon.com/images/M/MV5BZTVhMGZmNDQtYWZjZi00NmM2LThkNmYtNzBjYjcxZmE2ZjRlXkEyXkFqcGc@._V1_QL75_UY281_CR11,0,190,281_.jpg",Mark Waters,"John J. Strauss, Ed Decter, David Kidd","Monica Potter, Freddie Prinze Jr., Shalom Harlow"
tt0281820,The Good Thief,"Heist, Action, Crime, Drama, Romance, Thriller",6.5,2002,11K,109,"https://m.media-amazon.com/images/M/MV5BMzJmOWFhZWMtNjYwYS00YTE0LWFhNTMtZWRmMGIzNTBiMTYxXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",Neil Jordan,"Auguste Le Breton, Jean-Pierre Melville, Neil Jordan","Nick Nolte, Ralph Fiennes, Nutsa Kukhianidze"
tt5222918,The Other Side of Hope,"Comedy, Drama",7.2,2017,14K,100,"https://m.media-amazon.com/images/M/MV5BY2NmOGZlMmQtZjJkYy00YjcyLWFhMDUtZTdiNjI2ZmZhYzBkXkEyXkFqcGc@._V1_QL75_UY281_CR2,0,190,281_.jpg",Aki Kaurismäki,Aki Kaurismäki,"Sherwan Haji, Sakari Kuosmanen, Kaija Pakarinen"
